idx,name,ms,sm_clock_mhz
331,000331.npy,19.050,
332,000332.npy,19.318,
333,000333.npy,18.773,
334,000334.npy,16.201,
335,000335.npy,16.184,
336,000336.npy,16.272,
337,000337.npy,16.370,
338,000338.npy,16.098,
339,000339.npy,16.177,
340,000340.npy,16.656,1080
341,000341.npy,16.233,
342,000342.npy,17.851,
343,000343.npy,18.215,
344,000344.npy,17.552,
345,000345.npy,18.519,
346,000346.npy,17.958,
347,000347.npy,19.104,
348,000348.npy,20.460,
349,000349.npy,18.437,
350,000350.npy,18.339,1080
351,000351.npy,16.406,
352,000352.npy,17.188,
353,000353.npy,16.907,
354,000354.npy,17.058,
355,000355.npy,16.885,
356,000356.npy,17.047,
357,000357.npy,16.818,
358,000358.npy,19.236,
359,000359.npy,19.639,
360,000360.npy,17.909,1020
361,000361.npy,15.843,
362,000362.npy,15.880,
363,000363.npy,19.684,
364,000364.npy,17.658,
365,000365.npy,17.415,
366,000366.npy,18.233,
367,000367.npy,16.135,
368,000368.npy,15.826,
369,000369.npy,16.250,
370,000370.npy,15.806,1185
371,000371.npy,16.619,
372,000372.npy,15.841,
373,000373.npy,16.483,
374,000374.npy,17.912,
375,000375.npy,16.984,
376,000376.npy,18.037,
377,000377.npy,15.587,
378,000378.npy,17.368,
379,000379.npy,15.846,
380,000380.npy,18.961,1185
381,000381.npy,17.856,
382,000382.npy,19.094,
383,000383.npy,18.188,
384,000384.npy,16.219,
385,000385.npy,16.111,
386,000386.npy,15.825,
387,000387.npy,15.882,
388,000388.npy,16.189,
389,000389.npy,16.360,
390,000390.npy,17.924,1185
391,000391.npy,17.323,
392,000392.npy,16.403,
393,000393.npy,15.923,
394,000394.npy,15.592,
395,000395.npy,15.809,
396,000396.npy,15.721,
397,000397.npy,17.154,
398,000398.npy,19.048,
399,000399.npy,18.474,
400,000400.npy,17.018,1185
401,000401.npy,16.027,
402,000402.npy,16.729,
403,000403.npy,15.852,
404,000404.npy,15.924,
405,000405.npy,18.241,
406,000406.npy,16.894,
407,000407.npy,17.279,
408,000408.npy,15.601,
409,000409.npy,15.733,
410,000410.npy,15.710,1185
411,000411.npy,16.702,
412,000412.npy,15.744,
413,000413.npy,15.647,
414,000414.npy,18.549,
415,000415.npy,18.990,
416,000416.npy,17.807,
417,000417.npy,17.945,
418,000418.npy,17.630,
419,000419.npy,16.403,
420,000420.npy,16.112,1080
421,000421.npy,18.732,
422,000422.npy,17.279,
423,000423.npy,17.474,
424,000424.npy,16.190,
425,000425.npy,16.320,
426,000426.npy,16.368,
427,000427.npy,16.244,
428,000428.npy,16.413,
429,000429.npy,18.867,
430,000430.npy,18.750,1035
431,000431.npy,18.775,
432,000432.npy,16.912,
433,000433.npy,16.873,
434,000434.npy,17.844,
435,000435.npy,17.502,
436,000436.npy,17.050,
437,000437.npy,17.252,
438,000438.npy,17.423,
439,000439.npy,17.427,
440,000440.npy,17.803,930
441,000441.npy,18.864,
442,000442.npy,19.104,
443,000443.npy,17.035,
444,000444.npy,19.984,
445,000445.npy,18.012,
446,000446.npy,19.328,
447,000447.npy,17.330,
448,000448.npy,17.575,
449,000449.npy,17.282,
450,000450.npy,17.255,930
451,000451.npy,16.676,
452,000452.npy,16.889,
453,000453.npy,17.238,
454,000454.npy,18.777,
455,000455.npy,17.378,
456,000456.npy,20.506,
457,000457.npy,20.332,
458,000458.npy,20.428,
459,000459.npy,18.894,
460,000460.npy,19.016,1020
461,000461.npy,17.301,
462,000462.npy,16.882,
463,000463.npy,17.430,
464,000464.npy,17.456,
465,000465.npy,17.951,
466,000466.npy,17.341,
467,000467.npy,17.172,
468,000468.npy,16.514,
469,000469.npy,16.155,
470,000470.npy,16.789,1125
471,000471.npy,16.120,
472,000472.npy,17.588,
473,000473.npy,18.972,
474,000474.npy,17.731,
475,000475.npy,17.859,
476,000476.npy,16.930,
477,000477.npy,17.355,
478,000478.npy,16.167,
479,000479.npy,16.262,
480,000480.npy,16.062,1125
481,000481.npy,16.029,
482,000482.npy,16.996,
483,000483.npy,15.997,
484,000484.npy,16.462,
485,000485.npy,16.154,
486,000486.npy,16.234,
487,000487.npy,16.071,
488,000488.npy,18.442,
489,000489.npy,16.054,
490,000490.npy,17.518,1125
491,000491.npy,17.905,
492,000492.npy,17.599,
493,000493.npy,16.449,
494,000494.npy,21.509,
495,000495.npy,16.317,
496,000496.npy,16.107,
497,000497.npy,17.135,
498,000498.npy,17.167,
499,000499.npy,16.150,
500,000500.npy,16.216,1125
501,000501.npy,15.877,
502,000502.npy,15.963,
503,000503.npy,15.870,
504,000504.npy,15.966,
505,000505.npy,16.529,
506,000506.npy,16.416,
507,000507.npy,18.322,
508,000508.npy,21.105,
509,000509.npy,18.510,
510,000510.npy,18.296,1125
511,000511.npy,15.976,
512,000512.npy,15.943,
513,000513.npy,15.906,
514,000514.npy,16.267,
515,000515.npy,15.992,
516,000516.npy,16.127,
517,000517.npy,16.192,
518,000518.npy,15.910,
519,000519.npy,16.026,
520,000520.npy,15.856,1125
521,000521.npy,15.828,
522,000522.npy,15.787,
523,000523.npy,18.090,
524,000524.npy,18.349,
525,000525.npy,17.188,
526,000526.npy,17.157,
527,000527.npy,17.224,
528,000528.npy,16.464,
529,000529.npy,15.938,
530,000530.npy,15.948,1170
531,000531.npy,15.846,
532,000532.npy,15.788,
533,000533.npy,15.718,
534,000534.npy,15.763,
535,000535.npy,16.798,
536,000536.npy,15.909,
537,000537.npy,15.928,
538,000538.npy,17.391,
539,000539.npy,17.134,
540,000540.npy,16.936,1170
541,000541.npy,19.099,
542,000542.npy,18.362,
543,000543.npy,17.469,
544,000544.npy,16.911,
545,000545.npy,17.562,
546,000546.npy,15.804,
547,000547.npy,16.152,
548,000548.npy,16.006,
549,000549.npy,15.923,
550,000550.npy,15.998,1170
551,000551.npy,15.633,
552,000552.npy,16.844,
553,000553.npy,16.041,
554,000554.npy,17.168,
555,000555.npy,18.260,
556,000556.npy,17.153,
557,000557.npy,17.751,
558,000558.npy,17.536,
559,000559.npy,18.927,
560,000560.npy,19.504,1170
561,000561.npy,16.039,
562,000562.npy,15.803,
563,000563.npy,15.847,
564,000564.npy,15.985,
565,000565.npy,15.856,
566,000566.npy,15.762,
567,000567.npy,16.645,
568,000568.npy,15.818,
569,000569.npy,15.871,
570,000570.npy,16.071,1170
571,000571.npy,17.669,
572,000572.npy,16.921,
573,000573.npy,15.790,
574,000574.npy,16.690,
575,000575.npy,17.847,
576,000576.npy,20.850,
577,000577.npy,18.803,
578,000578.npy,17.772,
579,000579.npy,17.358,
580,000580.npy,16.651,1080
581,000581.npy,16.261,
582,000582.npy,16.663,
583,000583.npy,16.343,
584,000584.npy,16.233,
585,000585.npy,16.427,
586,000586.npy,18.506,
587,000587.npy,18.499,
588,000588.npy,17.894,
589,000589.npy,16.666,
590,000590.npy,16.503,1080
591,000591.npy,17.453,
592,000592.npy,21.548,
593,000593.npy,19.321,
594,000594.npy,19.184,
595,000595.npy,18.078,
596,000596.npy,19.077,
597,000597.npy,17.905,
598,000598.npy,19.003,
599,000599.npy,16.582,
600,000600.npy,16.474,1035
601,000601.npy,18.752,
602,000602.npy,18.185,
603,000603.npy,17.351,
604,000604.npy,17.084,
605,000605.npy,16.806,
606,000606.npy,17.069,
607,000607.npy,17.194,
608,000608.npy,18.576,
609,000609.npy,19.869,
610,000610.npy,19.662,1005
611,000611.npy,18.316,
612,000612.npy,16.381,
613,000613.npy,16.293,
614,000614.npy,16.273,
615,000615.npy,16.433,
616,000616.npy,17.793,
617,000617.npy,17.969,
618,000618.npy,17.833,
619,000619.npy,18.875,
620,000620.npy,18.532,1005
621,000621.npy,17.398,
622,000622.npy,16.157,
623,000623.npy,16.335,
624,000624.npy,16.447,
625,000625.npy,19.434,
626,000626.npy,19.235,
627,000627.npy,17.649,
628,000628.npy,17.478,
629,000629.npy,17.857,
630,000630.npy,16.344,1095
631,000631.npy,18.096,
632,000632.npy,18.205,
